AKT2004;Administrasjon
HMD3103;Horn-, bein- og metallduodjifaget, skriftlig
HSE3005;Helse og sykdom
HSE3006;Kommunikasjon og samhandling
HSE3007;Yrkesliv i helsesekretærfaget
HSE3008;Tverrfaglig eksamen, helsesekretær
HSF1006;Helsefremmende arbeid
HSF1007;Kommunikasjon og samhandling
HSF1008;Yrkesliv i helse- og oppvekstfag
HSF1009;Tverrfaglig eksamen, helse- og oppvekstfag, privatister
HSK3004;Herreskredderfaget
HSK3103;Herreskredderfaget, skriftlig
HST3004;Hestefaget
HST3103;Hestefaget, skriftlig
HUD2005;Helsefremmende arbeid
HUD2006;Kommunikasjon og samhandling
HUD2007;Yrkesliv i hudpleiefaget
HUD2008;Tverrfaglig eksamen hudpleie
HUD3005;Helsefremmende arbeid
HUD3006;Kommunikasjon og samhandling
HUD3007;Yrkesliv i hudpleiefaget
HUD3008;Tverrfaglig eksamen, hudpleier
HVF3004;Håndveverfaget
HVF3103;Håndveverfaget, skriftlig
HVS3004;Hovslagerfaget - særløp
HVS3103;Hovslagerfaget, skriftlig
IDR2018;Aktivitetslære 1
IDR2019;Aktivitetslære 2
IDR2020;Aktivitetslære 3
IDR2021;Idrett og samfunn vg2
IDR2022;Idrett og samfunn Vg3
IDR2023;Treningsledelse 1
IDR2024;Treningsledelse 2
IDR2025;Treningslære 1 vg1
IDR2026;Treningslære 1
IDR2027;Treningslære 2
IDR3013;Toppidrett 1
IDR3014;Toppidrett 2
IDR3015;Toppidrett 3
IDR3016;Breddeidrett 1
IDR3017;Breddeidrett 2
IDR3018;Breddeidrett 3
IDR3019;Friluftsliv 1
IDR3020;Friluftsliv 2
IDR3021;Lederutvikling 1
IDR3022;Lederutvikling 2
IED2001;Design, teknologi og produksjon
IED2002;Kunde og kommunikasjon
IED2003;Tverrfaglig eksamen interiør og eksponeringsdesign
IHP3001;Innholdsproduksjonsfaget
IHP3103;Innholdsproduksjonsfaget, skriftlig
IKM1001;Produksjon og historiefortelling
IKM1002;Teknologiforståelse
IKM1003;Konseptutvikling og programmering
IKM1004;Tverrfaglig eksamen, informasjonsteknologi og medieproduksjon, privatister
IME3004;Industrimekanikerfaget
IME3103;Industrimekanikerfaget , skriftlig
IMF3004;Industrimalerfaget
IMF3103;Industrimalerfaget, skriftlig
IMO3004;Industrimontørfaget
IMO3103;Industrimontørfaget, skriftlig
IMP3004;Industriell matproduksjon
IMP3103;Industriell matproduksjon, skriftlig
INT3004;Prosess og prosjektering
INT3005;Kunde og kommunikasjon
INT3006;Tverrfaglig eksamen interiør
IOM3004;Industrioppmålingsfaget
IOM3103;Industrioppmålingsfaget, skriftlig
IOV3004;Industriell overflatebehandling
IOV3103;Industriell overflatebehandling, skriftlig
IRL3004;Industrirørleggerfaget
IRL3103;Industrirørleggerfaget, skriftlig
ISL3001;Isolatørfaget
ISL3103;Isolatørfaget, skriftlig
ISN3004;Industrisnekkerfaget
ISN3103;Industrisnekkerfaget, skriftlig
ITA3004;Industritapetsererfaget
ITA3103;Industritapetsererfaget, skriftlig
ITD3001;IT-driftsfaget
ITD3103;IT-driftsfaget, skriftlig
ITF3001;Industritekstilfaget, fordypningsområde farging, trykking og etterbehandling
ITF3004;Industritekstilfaget, fordypningsområde garnframstilling
ITF3005;Industritekstilfaget, fordypningsområde industrisøm
ITF3006;Industritekstilfaget, fordypningsområde trikotasje
ITF3007;Industritekstilfaget, fordypningsområde veving
ITF3103;Industritekstilfaget, fordypningsområde farging, trykking og etterbehandling, skriftlig
ITF3104;Industritekstilfaget, fordypningsområde garnframstilling, skriftlig
ITF3105;Industritekstilfaget, fordypningsområde industrisøm, skriftlig
ITF3106;Industritekstilfaget, fordypningsområde trikotasje, skriftlig
ITF3107;Industritekstilfaget, fordypningsområde veving, skriftlig
ITK2001;Driftsstøtte
ITK2002;Brukerstøtte
ITK2003;Utvikling
ITK2004;Tverrfaglig eksamen informasjonsteknologi
IUV3001;IT-utviklerfaget
IUV3103;IT-utviklerfaget, skriftlig
KAR3004;Chassispåbyggefaget
KAR3103;Chassispåbyggerfaget, skriftlig
KBB3004;Komposittbåtbyggerfaget
KBB3103;Komposittbåtbyggerfaget, skriftlig
KDA2007;Kunst og visuelle virkemidler 1
KDA2008;Kunst og visuelle verkemiddel 2
KDA2009;Kunst og visuelle virkemidler 3
KDA2010;Design og arkitektur 1
KDA2011;Design og arkitektur 2
KDA2012;Design og arkitektur 3
KDA3007;Kunst og skapende arbeid
KDA3008;Design og bærekraft
KDA3009;Arkitektur og samfunn
KDA3010;Foto og grafikk 1
KDA3011;Foto og grafikk 2
KDA3012;Samisk visuell kultur
KEF1001;Kvensk som andrespråk, vg1 yrkesfaglige utdanningsprogram
KEF1002;Kvensk som andrespråk, vg2 yrkesfaglige utdanningsprogram
KEF1003;Kvensk som andrespråk, muntlig for privatister, vg2 yrkesfaglige utdanningsprogram
KEF1004;Kvensk som andrespråk, vg1 studieforberedende utdanningsprogram, skriftlig
KEF1005;Kvensk som andrespråk, vg1 studieforberedende utdanningsprogram, muntlig
KEF1006;Kvensk som andrespråk, vg2 studieforberedende utdanningsprogram, skriftlig
KEF1007;Kvensk som andrespråk, vg2 studieforberedende utdanningsprogram, muntlig
KEF1008;Kvensk som andrespråk, vg3 studieforberedende utdanningsprogram, skriftlig
KEF1009;Kvensk som andrespråk, vg3 studieforberedende utdanningsprogram, muntlig
KEF1010;Kvensk som andrespråk, vg3 påbygging til generell studiekompetanse, skriftlig
KEF1011;Kvensk som andrespråk, vg3 påbygging til generell studiekompetanse, muntlig
KEF1101;Finsk som andrespråk, vg1 yrkesfaglige utdanningsprogram
KEF1102;Finsk som andrespråk, vg2 yrkesfaglige utdanningsprogram
KEF1103;Finsk som andrespråk, muntlig for privatister, vg2 yrkesfaglige utdanningsprogram
KEF1104;Finsk som andrespråk, vg1 studieforberedende utdanningsprogram, skriftlig
KEF1105;Finsk som andrespråk, vg1 studieforberedende utdanningsprogram, muntlig
KEF1106;Finsk som andrespråk, vg2 studieforberedende utdanningsprogram, skriftlig
KEF1107;Finsk som andrespråk, vg2 studieforberedende utdanningsprogram, muntlig
KEF1108;Finsk som andrespråk, vg3 studieforberedende utdanningsprogram, skriftlig
KEF1109;Finsk som andrespråk, vg3 studieforberedende utdanningsprogram, muntlig
KEF1110;Finsk som andrespråk, vg3 påbygging til generell studiekompetanse, skriftlig
KEF1111;Finsk som andrespråk, vg3 påbygging til generell studiekompetanse, muntlig
KEM2004;Praktisk yrkesutøvelse
KEM2005;Arbeidsmiljø og dokumentasjon
KEM2006;Tverrfaglig eksamen klima, energi og miljøteknikk
KER3004;Keramikerfaget - særløp
KER3103;Keramikerfaget , skriftlig
KJD3004;Kjole- og draktsyerfaget
KJD3103;Kjole- og draktsyerfaget, skriftlig
KJP3004;Kjemiprosessfaget
KJP3103;Kjemiprosessfaget, skriftlig
KJT2004;Verkstedarbeid
KJT2005;Dokumentasjon og kvalitet
KJT2006;Tverrfaglig eksamen kjøretøy
KLO3004;Kran- og løfteoperasjonsfaget
KLO3103;Kran- og løfteoperasjonsfaget, skriftlig
KOK3004;Kokkfaget
KOK3103;Kokkfaget, skriftlig
KON3004;Konditorfaget
KON3103;Konditorfaget, skriftlig
KOS2001;Råvare, produksjon, salg og service
KOS2002;Bransje og arbeidsliv
KOS2003;Tverrfaglig eksamen kokk- og servitørfag
KPL2001;Produksjon og tjenester
KPL2002;Kjemisk teknologi
KPL2003;Analyse, dokumentasjon og kvalitet
KPL2004;Tverrfaglig eksamen kjemiprosess- og laboratoriefag
KRO1017;Kroppsøving vg1
KRO1018;Kroppsøving vg2
KRO1019;Kroppsøving Vg3
KRV3004;Kurvmakerfaget - særløp
KRV3103;Kurvmakerfaget , skriftlig
KSK3004;Kjøttskjærerfaget
KSK3103;Kjøttskjærerfaget, skriftlig
KST3004;Kostymesyerfaget
KST3103;Kostymesyerfaget, skriftlig
KVP3001;Kulde- og varmepumpeteknikkfaget
KVP3103;Kulde- og varmepumpeteknikkfaget, skriftlig
KVV2001;Elenergi og automatisering
KVV2002;Kulde- og varmepumpeteknikk
KVV2003;Ventilasjonsteknikk
KVV2004;Tverrfaglig eksamen kulde-, varmepumpe og og ventilasjonsteknikk
LAB3004;Laboratoriefaget
LAB3103;Laboratoriefaget, skriftlig
LBR3009;Plante- og husdyrproduksjon
LBR3010;Utmark og kulturlandskap
LBR3011;Gårdsdrift
LBR3012;Maskiner og teknologi i landbruk
LBR3013;Økonomi og driftsledelse
LBR3014;Økologisk landbruk
LBR3015;Økologisk landbruk, muntlig
LBR3016;Tverrfaglig eksamen, landbruk
LGA2010;Produksjon og tjenesteyting
LGA2011;Forvaltning og drift
LGA2012;Tverrfaglig eksamen landbruk og gartnernæring
LMM3004;Landbruksmaskinmekanikerfaget
LMM3103;Landbruksmaskinmekanikerfaget, skriftlig
LOG3004;Logistikkfaget
LOG3103;Logistikkfaget, skriftlig
LSM3004;Låsesmedfaget
LSM3103;Låsesmedfaget , skriftlig
MAR2012;Skipstekniske tjenester
MAR2013;Dokumentasjon og kvalitet
MAR2014;Dekk
MAR2015;Maskin
MAR2016;Tverrfaglig eksamen maritime fag, dekk
MAR2017;Tverrfaglig eksamen maritime fag, maskin
MAT1019;Matematikk 1P
MAT1020;Matematikk 1P, muntlig-praktisk
MAT1021;Matematikk 1T
MAT1022;Matematikk 1T, muntlig-praktisk
MAT1023;Matematikk 2P
MAT1024;Matematikk 2P, muntlig-praktisk
MAT1111;Matematikk 1P-Y BA
MAT1112;Matematikk 1P-Y BA, muntlig-praktisk
MAT1113;Matematikk 1P-Y EL
MAT1114;Matematikk 1P-Y EL, muntlig-praktisk
MAT1115;Matematikk 1P-Y FD
MAT1116;Matematikk 1P-Y FD, muntlig-praktisk
MAT1117;Matematikk 1P-Y HS
MAT1118;Matematikk 1P-Y HS, muntlig-praktisk
MAT1119;Matematikk 1P-Y DT
MAT1120;Matematikk 1P-Y DT, muntlig-praktisk
MAT1121;Matematikk 1P-Y IM
MAT1122;Matematikk 1P-Y IM, muntlig-praktisk
MAT1123;Matematikk 1P-Y NA
MAT1124;Matematikk 1P-Y NA, muntlig-praktisk
MAT1125;Matematikk 1P-Y RM
MAT1126;Matematikk 1P-Y RM, muntlig-praktisk
MAT1127;Matematikk 1P-Y SR
MAT1128;Matematikk 1P-Y SR, muntlig-praktisk
MAT1129;Matematikk 1P-Y TP
MAT1130;Matematikk 1P-Y TP, muntlig-praktisk
MAT1131;Matematikk 1T-Y BA
MAT1132;Matematikk 1T-Y BA, muntlig-praktisk
MAT1133;Matematikk 1T-Y EL
MAT1134;Matematikk 1T-Y EL, muntlig-praktisk
MAT1135;Matematikk 1T-Y FD
MAT1136;Matematikk 1T-Y FD, muntlig-praktisk
MAT1137;Matematikk 1T-Y HS
MAT1138;Matematikk 1T-Y HS, muntlig-praktisk
MAT1139;Matematikk 1T-Y DT
MAT1140;Matematikk 1T-Y DT, muntlig-praktisk
MAT1141;Matematikk 1T-Y IM
MAT1142;Matematikk 1T-Y IM, muntlig-praktisk
MAT1143;Matematikk 1T-Y NA
MAT1144;Matematikk 1T-Y NA, muntlig-praktisk
MAT1145;Matematikk 1T-Y RM
MAT1146;Matematikk 1T-Y RM, muntlig-praktisk
MAT1147;Matematikk 1T-Y SR
MAT1148;Matematikk 1T-Y SR, muntlig-praktisk
MAT1149;Matematikk 1T-Y TP
MAT1150;Matematikk 1T-Y TP, muntlig-praktisk
MAT1151;Matematikk 2P-Y
MAT1152;Matematikk 2P-Y, muntlig-praktisk
MBT3004;Møbeltapetsererfaget - særløp
MBT3103;Møbeltapetsererfaget, skriftlig
MDD2002;Musikk, dans og drama
MDD3006;Bevegelse
MDD3007;Lytting
MDD3008;Danseteknikker
MDD3009;Musikk
MDD3010;Teaterensemble
MDF3001;Mediedesignfaget
MDF3103;Mediedesignfaget, skriftlig
MED2005;Teknologi og produksjon
MED2006;Konseptutvikling og kommunikasjon
MED2007;Design og visualisering
MED2008;Tverrfaglig eksamen medieproduksjon
MEL3006;Elenergi
MEL3007;Automasjon
MEL3008;Elektronisk kommunikasjon
MEL3009;Organisasjon og ledelse
MEL3010;Tverrfaglig eksamen maritim elektrikerfaget
MEL3104;Maritim elektrikerfaget, skriftlig
MEL4003;Maritim elektrikerfaget
MET3001;Medieteknikkfaget
MET3103;Medieteknikkfaget, skriftlig
MFF3001;Murer- og flisleggerfaget
MFF3103;Murer- og flisleggerfaget, skriftlig
MME3004;Motormekanikerfaget
MME3103;Motormekanikerfaget, skriftlig
MOB3004;Modellbyggerfaget
MOB3103;Modellbyggjarfaget, skriftlig
MOD3004;Modistfaget
MOD3103;Modistfaget, skriftlig
MOK2008;Mediesamfunnet 1
MOK2009;Mediesamfunnet 2
MOK2010;Mediesamfunnet 3
MOK2011;Mediesamfunnet 3, praktisk
MOK2012;Medieuttrykk 1
MOK2013;Medieuttrykk 2
MOK2014;Medieuttrykk 3
MOK3007;Tekst
MOK3008;Bilde
MOK3009;Lyddesign
MOK3010;Grafisk design
MOK3011;Medieutvikling
MOK3012;Mediespesialisering
MOT3001;Maler- og overflateteknikkfaget
MOT3103;Maler- og overflateteknikkfaget, skriftlig
MPM3004;Maskør- og parykkmakerfaget - særløp
MPM3103;Maskør- og parykkmakerfaget, skriftlig
MPR2001;Råvare, produksjon og kvalitet
MPR2002;Bransje og arbeidsliv
MPR2003;Tverrfaglig eksamen kjøttfag og næringsmiddelindustri
MSF3004;Møbelsnekkerfaget
MSF3103;Møbelsnekkerfaget, skriftlig
MSY3004;Motorsykkelfaget
MSY3103;Motorsykkelfaget, skriftlig
MTS3004;Matrosfaget
MTS3103;Matrosfaget, skriftlig
MUS2010;Ergonomi og bevegelse 1
MUS2011;Ergonomi og bevegelse 2
MUS2012;Instrument, kor, samspill 1
MUS2013;Instrument, kor, samspill 2
MUS2014;Musikk i perspektiv 1
MUS2015;Musikk i perspektiv, muntlig
MUS2016;Musikk i perspektiv 2
MUS2017;Musikk i perspektiv 2, muntlig
MUS2018;Instruksjon og ledelse
MUS3006;Musikk fordypning 1
MUS3007;Musikk fordypning 1, muntlig-praktisk
MUS3008;Musikk fordypning 2
MUS3009;Musikk fordypning 2, muntlig-praktisk
MUS3010;Samisk musikk og scene
NAB1005;Naturbasert produksjon og tjenesteyting
NAB1006;Naturbasert næringsaktivitet
NAB1007;Tverrfaglig eksamen, naturbruk, privatister
NAB3007;Naturforvaltning
NAB3008;Bruk og vern av natur
NAB3009;Feltarbeid i naturbruk
NAB3010;Naturbasert næringsutvikling
NAB3011;Naturforvaltning, muntlig
NAB3012;Naturbasert næringsutvikling, muntlig
NAT1007;Naturfag vg1 studieforberedende utdanningsprogram
NAT1008;Naturfag vg1 BA
NAT1009;Naturfag vg1 EL
NAT1010;Naturfag vg1 FD
NAT1011;Naturfag vg1 HS
NAT1012;Naturfag vg1 DT
NAT1013;Naturfag vg1 IM
NAT1014;Naturfag vg1 NA
NAT1015;Naturfag vg1 RM
NAT1016;Naturfag vg1 SR
NAT1017;Naturfag vg1 TP
NAT1018;Naturfag Vg3 påbygging til generell studiekompetanse
NAT1019;Naturfag vg1 studieforberedende utdanningsprogram, samisk plan
NAT1020;Naturfag vg1 BA, samisk plan
NAT1021;Naturfag vg1 EL, samisk plan
NAT1022;Naturfag vg1 FD, samisk plan
NAT1023;Naturfag vg1 HS, samisk plan
NAT1024;Naturfag vg1 DT, samisk plan
NAT1025;Naturfag vg1 IM, samisk plan
NAT1026;Naturfag vg1 NA, samisk plan
NAT1027;Naturfag vg1 RM, samisk plan
NAT1028;Naturfag vg1 SR, samisk plan
NAT1029;Naturfag vg1 TP, samisk plan
NAT1030;Naturfag Vg3 påbygging til generell studiekompetanse, samisk plan
NDT3004;NDT-kontrollørfaget
NDT3103;NDT-kontrollørfaget, skriftlig
NOR1065;Norsk tegnspråk, vg1 yrkesfaglige utdanningsprogram
NOR1066;Norsk tegnspråk, vg2 yrkesfaglige utdanningsprogram
NOR1067;Norsk tegnspråk, vg2 yrkesfaglige utdanningsprogram, muntlig samhandling
NOR1068;Norsk tegnspråk, vg1 studieforberedende utdanningsprogram, tekstskaping
NOR1069;Norsk tegnspråk, vg1 studieforberedene utdanningsprogram, muntlig samhandling
NOR1070;Norsk tegnspråk, vg2 studieforberedende utdanningsprogram, tekstskaping
NOR1071;Norsk tegnspråk, vg2 studieforberedende utdanningsprogram, muntlig samhandling
NOR1072;Norsk tegnspråk, vg3 studieforberedende utdanningsprogram, tekstskaping
NOR1073;Norsk tegnspråk, vg3 studieforberedende utdanningsprogram, muntlig samhandling
NOR1074;Norsk tegnspråk, vg3 påbygging til generell studiekompetanse, tekstskaping
NOR1075;Norsk tegnspråk, vg3 påbygging til generell studiekompetanse, muntlig samhandling
NOR1076;Norsk for elever med tegnspråk, vg2 yrkesfaglige utdanningsprogram
NOR1077;Norsk for elever med tegnspråk, vg1 studieforberedende utdanningsprogram
NOR1078;Norsk for elever med tegnspråk, vg2 studieforberedende utdanningsprogram
NOR1079;Norsk for elever med tegnspråk, vg3 studieforberedende utdanningsprogram
NOR1080;Norsk for elever med tegnspråk, vg3 påbygging til generell studiekompetanse
NOR1260;Norsk, vg1 studieforberedende utdanningsprogram, skriftlig
NOR1261;Norsk, vg1 studieforberedende utdanningsprogram, muntlig
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram
NOR1263;Norsk, vg2 yrkesfaglige utdanningsprogram, muntlig
NOR1264;Norsk, vg2 studieforberedende utdanningsprogram, skriftlig
NOR1265;Norsk, vg2 studieforberedende utdanningsprogram, muntlig
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig
NOR1268;Norsk sidemål, vg3 studieforberedende utdanningsprogram, skriftlig
NOR1269;Norsk, vg3 studieforberedende utdanningsprogram, muntlig
NOR1270;Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig
NOR1271;Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig
NOR1272;Norsk, vg3 påbygging til generell studiekompetanse, muntlig
NOR1274;Norsk for elever med samisk som førstespråk, vg2 yrkesfaglige utdanningsprogram
NOR1275;Norsk for elever med samisk som førstespråk, vg2 yrkesfaglige utdanningsprogram, muntlig
NOR1276;Norsk for elever med samisk som førstespråk, vg1 studieforberedende utdanningsprogram, skriftlig
NOR1277;Norsk for elever med samisk som førstespråk, vg1 studieforberedende utdanningsprogram, muntlig
NOR1278;Norsk for elever med samisk som førstespråk, vg2 studieforberedende utdanningsprogram, skriftlig
NOR1279;Norsk for elever med samisk som førstespråk, vg2 studieforberedende utdanningsprogram, muntlig
NOR1280;Norsk for elever med samisk som førstespråk, Vg3 studieforberedende utdanningsprogram, skriftlig
NOR1281;Norsk for elever med samisk som førstespråk, Vg3 studieforberedende utdanningsprogram, muntlig
NOR1282;Norsk for elever med samisk som førstespråk, Vg3 påbygging til generell studiekompetanse, skriftlig
NOR1283;Norsk for elever med samisk som førstespråk, Vg3 påbygging til generell studiekompetanse, muntlig
NOR1284;Norsk for elever med samisk/kvensk/finsk som andrespråk, vg1 studieforberedende utdanningsprogram, skriftlig
NOR1285;Norsk for elever med samisk/kvensk/finsk som andrespråk, vg2 yrkesfaglige utdanningsprogram
NOR1286;Norsk for elever med samisk/kvensk/finsk som andrespråk, vg2 studieforberedende utdanningsprogram, skriftlig
NOR1287;Norsk for elever med samisk/kvensk/finsk som andrespråk, Vg3 studieforberedende utdanningsprogram, skriftlig
NOR1288;Norsk for elever med samisk/kvensk/finsk som andrespråk, Vg3 påbygging til generell studiekompetanse, skriftlig
NOR1412;Norsk for elever i vgo med kort botid i Norge, vg1 studieforberedende utdanningsprogram, skriftlig
NOR1413;Norsk for elever i vgo med kort botid i Norge, vg1 studieforberedende utdanningsprogram, muntlig
NOR1414;Norsk for elever i vgo med kort botid i Norge, vg2 studieforberedende utdanningsprogram, skriftlig
NOR1416;Norsk for elever i vgo med kort botid i Norge, vg2 studieforberedende utdanningsprogram, muntlig
NOR1418;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram
NOR1419;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram, muntlig
NOR1420;Norsk for elever i vgo med kort botid i Norge, Vg3 studieforberedende utdanningsprogram, skriftlig
NOR1421;Norsk for elever i vgo med kort botid i Norge, Vg3 studieforberedende utdanningsprogram, muntlig
NOR1422;Norsk for elever i vgo med kort botid i Norge, Vg3 påbygging til generell studiekompetanse, skriftlig
NOR1423;Norsk for elever i vgo med kort botid i Norge, Vg3 påbygging til generell studiekompetanse, muntlig
OFT2004;Forbehandling og påføring
OFT2005;Helse, miljø, sikkerhet og kvalitet
OFT2006;Tverrfaglig eksamen overflateteknikk
OPT3004;Optronikerfaget
OPT3103;Optronikerfaget, skriftlig
ORG3004;Orgelbyggerfaget
ORG3103;Orgelbyggerfaget, skriftlig
ORT3004;Ortopediteknikkfaget
ORT3103;Ortopediteknikkfaget, skriftlig
PFD3004;Profileringsdesignfaget
PFD3103;Profileringsdesignfaget, skriftlig
PIN2005;Teknologi
PIN2006;Vedlikehold
PIN2007;Tverrfaglig eksamen industriteknologi
PLA3004;Platearbeiderfaget
PLA3103;Platearbeiderfaget, skriftlig
PLF3001;Plastfaget
PLF3103;Plastfaget, skriftlig
PMF3004;Pølsemakerfaget
PMF3103;Pølsemakerfaget, skriftlig
POM3004;Polymerkomposittfaget
POM3103;Polymerkomposittfaget, skriftlig
POR3004;Portørfaget
POR3103;Portørfaget, skriftlig
PRO3004;Produksjonselektronikerfaget
PRO3103;Produksjonselektronikerfaget, skriftlig
PRT3004;Produksjonsteknikkfaget
PRT3103;Produksjonsteknikkfaget, skriftlig
PSP5790;Finsk nivå I
PSP5791;Finsk nivå I, muntlig
PSP5792;Finsk nivå II
PSP5793;Finsk nivå II, muntlig
PSP5794;Finsk nivå III
PSP5795;Finsk nivå III, muntlig
PSP5796;Fransk nivå I
PSP5797;Fransk nivå I, muntlig
PSP5798;Fransk nivå II
PSP5799;Fransk nivå II, muntlig
PSP5800;Fransk nivå III
PSP5801;Fransk nivå III, muntlig
PSP5802;Lulesamisk nivå I
PSP5803;Lulesamisk nivå I, muntlig
PSP5804;Lulesamisk nivå II
PSP5805;Lulesamisk nivå II, muntlig
PSP5806;Lulesamisk nivå III
PSP5807;Lulesamisk nivå III, muntlig
PSP5808;Nordsamisk nivå I
PSP5809;Nordsamisk nivå I, muntlig
PSP5810;Nordsamisk nivå II
PSP5811;Nordsamisk nivå II, muntlig
PSP5812;Nordsamisk nivå III
PSP5813;Nordsamisk nivå III, muntlig
PSP5814;Sørsamisk, nivå I
PSP5815;Sørsamisk nivå I, muntlig
PSP5816;Sørsamisk nivå II
PSP5817;Sørsamisk nivå II, muntlig
PSP5818;Sørsamisk nivå III
PSP5819;Sørsamisk nivå III, muntlig
PSP5820;Russisk, nivå I
PSP5821;Russisk nivå I, muntlig
PSP5822;Russisk nivå II
PSP5823;Russisk nivå II, muntlig
PSP5824;Russisk nivå III
PSP5825;Russisk nivå III, muntlig
PSP5826;Spansk, nivå I
PSP5827;Spansk nivå I, muntlig
PSP5828;Spansk nivå II
PSP5829;Spansk nivå II, muntlig
PSP5830;Spansk nivå III
PSP5831;Spansk nivå III, muntlig
PSP5832;Tegnspråk, nivå I
PSP5833;Tegnspråk nivå I, muntlig
PSP5834;Tegnspråk nivå II
PSP5835;Tegnspråk nivå II, muntlig
PSP5836;Tegnspråk nivå III
PSP5837;Tegnspråk nivå III, muntlig
PSP5838;Tysk, nivå I
PSP5839;Tysk nivå I, muntlig
PSP5840;Tysk nivå II
PSP5841;Tysk nivå II, muntlig
PSP5842;Tysk nivå III
PSP5843;Tysk nivå III, muntlig
PSP5844;Italiensk nivå I
PSP5845;Italiensk nivå I, muntlig
PSP5846;Italiensk nivå II
PSP5847;Italiensk nivå II, muntlig
PSP5848;Italiensk nivå III
PSP5849;Italiensk nivå III, muntlig
PSP5850;Japansk nivå I
PSP5851;Japansk nivå I, muntlig
PSP5852;Japansk nivå II
PSP5853;Japansk nivå II, muntlig
PSP5854;Japansk nivå III
PSP5855;Japansk nivå III, muntlig
PSP5856;Arabisk nivå I
PSP5857;Arabisk nivå I, muntlig
PSP5858;Arabisk nivå II
PSP5859;Arabisk nivå II, muntlig
PSP5860;Arabisk nivå III
PSP5861;Arabisk nivå III, muntlig
PSP5862;Kinesisk nivå I
PSP5863;Kinesisk nivå I, muntlig
PSP5864;Kinesisk nivå II
PSP5865;Kinesisk nivå II, muntlig
PSP5866;Kinesisk nivå III
PSP5867;Kinesisk nivå III, muntlig
PSP5868;Portugisisk nivå I
PSP5869;Portugisisk nivå I, muntlig
PSP5870;Portugisisk nivå II
PSP5871;Portugisisk nivå II, muntlig
PSP5872;Portugisisk nivå III
PSP5873;Portugisisk nivå III, muntlig
PSP5874;Albansk nivå I
PSP5875;Albansk nivå I, muntlig
PSP5876;Albansk nivå II
PSP5877;Albansk nivå II, muntlig
PSP5878;Albansk nivå III
PSP5879;Albansk nivå III, muntlig
PSP5880;Bosnisk nivå I
PSP5881;Bosnisk nivå I, muntlig
PSP5882;Bosnisk nivå II
PSP5883;Bosnisk nivå II, muntlig
PSP5884;Bosnisk nivå III
PSP5885;Bosnisk nivå III, muntlig
PSP5886;Dari nivå I
PSP5887;Dari nivå I, muntlig
PSP5888;Dari nivå II
PSP5889;Dari nivå II, muntlig
PSP5890;Dari nivå III
PSP5891;Dari nivå III, muntlig
PSP5892;Koreansk nivå I
PSP5893;Koreansk nivå I, muntlig
PSP5894;Koreansk nivå II
PSP5895;Koreansk nivå II, muntlig
PSP5896;Koreansk nivå III
PSP5897;Koreansk nivå III, muntlig
PSP5898;Kurdisk (sorani) nivå I
PSP5899;Kurdisk (sorani) nivå I, muntlig
PSP5900;Kurdisk (sorani) nivå II
PSP5901;Kurdisk (sorani) nivå II, muntlig
PSP5902;Kurdisk (sorani) nivå III
PSP5903;Kurdisk (sorani) nivå III, muntlig
PSP5904;Persisk nivå I
PSP5905;Persisk nivå I, muntlig
PSP5906;Persisk nivå II
PSP5907;Persisk nivå II, muntlig
PSP5908;Persisk nivå III
PSP5909;Persisk nivå III, muntlig
PSP5910;Polsk nivå I
PSP5911;Polsk nivå I, muntlig
PSP5912;Polsk nivå II
PSP5913;Polsk nivå II, muntlig
PSP5914;Polsk nivå III
PSP5915;Polsk nivå III, muntlig
PSP5916;Somali nivå I
PSP5917;Somali nivå I, muntlig
PSP5918;Somali nivå II
PSP5919;Somali nivå II, muntlig
PSP5920;Somali nivå III
PSP5921;Somali nivå III, muntlig
PSP5922;Tamil nivå I
PSP5923;Tamil nivå I, muntlig
PSP5924;Tamil nivå II
PSP5925;Tamil nivå II, muntlig
PSP5926;Tamil nivå III
PSP5927;Tamil nivå III, muntlig
PSP5928;Tyrkisk nivå I
PSP5929;Tyrkisk nivå I, muntlig
PSP5930;Tyrkisk nivå II
PSP5931;Tyrkisk nivå II, muntlig
PSP5932;Tyrkisk nivå III
PSP5933;Tyrkisk nivå III, muntlig
PSP5934;Urdu nivå I
PSP5935;Urdu nivå I, muntlig
PSP5936;Urdu nivå II
PSP5937;Urdu nivå II, muntlig
PSP5938;Urdu nivå III
PSP5939;Urdu nivå III, muntlig
PSP5940;Vietnamesisk nivå I
PSP5941;Vietnamesisk nivå I, muntlig
PSP5942;Vietnamesisk nivå II
PSP5943;Vietnamesisk nivå II, muntlig
PSP5944;Vietnamesisk nivå III
PSP5945;Vietnamesisk nivå III, muntlig
PSP5946;Amharisk nivå I
PSP5947;Amharisk nivå I, muntlig
PSP5948;Amharisk nivå II
PSP5949;Amharisk nivå II, muntlig
PSP5950;Amharisk nivå III
PSP5951;Amharisk nivå III, muntlig
PSP5952;Estisk nivå I
